uid,shard,migration_ts,migrated_status
yp76MKJ9WCSL5Pbf4oT8YEc9Wry2,1,1679391251536,success
nHWqqQAvXMQ66pfsKDUeE76gWcg2,1,1679391285089,success
WprT5ZlAgxezMmdF6ZyttmPwDvi1,1,1679391308503,success
tVPPaNTj81a4VL5cyDezi1vVH0t2,1,1679391338637,success
ypt4uaITXJcJuIi5zi7zW4Qd0pl1,1,1679391358304,success
KMjNYmGmzvZApdhh0FpIlDwbkWy2,1,1679391389108,success
dxexdyrDt2OXmFm32YRSB5YilY52,1,1679391470415,success
jgaGEZkh9UUdtYDkNULfim5zWzB2,1,1679391502207,success
0qR0xU7HJFPTgEVTpSQChZy4Al12,1,1679391513908,success
zbB9deTC9vTFZxYgKHv8GokS1v72,1,1679391555735,success
J6X3ntm88yUbSiSdt3vPnesfXGq1,1,1679391555910,success
y9Y07LRb6sOQQyiLBeD9qMLf4Zk1,1,1679391555750,success
sW3UYu8kjsVsiW4B0kktsS20glM2,1,1679391621847,success
aVn7Qg0vbeRxNUF7exMciaHYkOg2,1,1679391653997,success
oWPBpvzXFffyOvcZfet8Yz4LPEH2,1,1679391660309,success
ECHcKbGdLaSa1QrfShuJp3Kep4c2,1,1679391679111,success
dnwCAcdegiNy60abFswpWSEToVJ3,1,1679391715028,success
oFz4igvgUDZfbEfR74m2LBc510U2,1,1679391718210,success
pRjWqXAeUng0DlnwLYrZNMuxfwp2,1,1679391729374,success
T1Uov0bQgdUYL72i82B2lzvVPKz2,1,1679391737721,success
WTzcGb9iL1f7iGIXCHBrfMl4M532,1,1679391762707,success
SI6k4P0fdffsEZ6FydPBqBZn2Rz2,1,1679391818113,success
oXvsdEdGaRRxq8YGA1snGiD4EiC3,1,1679391819838,success
N6HfncW8wyO2VY5bKDuhvCIks5C2,1,1679391875337,success
TaRQYy8XXdNmsGPJoPIfqXyoREL2,1,1679391909354,success
M9Oww8KMlLRwyeU3cBmw63rQ7M13,1,1679391917284,success
Bz16cUsOjPfYNARn9VVehpNi4IF2,1,1679391924879,success
FiJpQqf4Ena0U3hpoOEUa6hbjux1,1,1679392021221,success
